text,happiness
love,10
community,10
feel,10
sense,10
belonging,10
government,9
doing,9
great,9
job,9
so,10
happy,10
today,10
life,4
tough,4
lately,4
angry,2
recent,2
policies,2
upset,1
thinking,1
protesting,1
never,10
happier,10
indifferent,5
current,5
state,5
affairs,5
hopelessness,1
events,7
left,7
feeling,7
joyful,7
concerned,3
direction,3
society,3
needs,0
held,0
accountable,0
dissatisfied,2
status,2
quo,2
believe,0
leaders,0
corrupt,0
joining,0
rebellion,0
better,10
complete,9
trust,9
unhappy,2
leadership,2
will,0
not,0
stand,0
injustice,0
betraying,0
people,0
content,10
their,9
best,9
considering,0
taking,0
drastic,0
action,0
deeply,1
disappointed,1
find,10
joy,10
simplest,10
things,10
filled,9
gratitude,9
causing,2
distress,2
cannot,10
contain,10
excitement,10
future,10
local,10
supportive,10
policy,1
changes,1
unsettling,1
faith,9
proud,10
part,10
unrest,4
losing,0
despite,6
challenges,6
remain,6
hopeful,6
heartbroken,2
alienated,1
by,1
optimistic,9
dividing,0
us,0
struggling,3
happiness,3
get,8
starting,1
question,1
appreciative,9
governments,9
efforts,9
unsatisfied,0
contemplating,0
overwhelmed,10
frustrated,1
decisions,1
hard,0
keep,0
system,0
thrilled,7
progress,7
we,7
making,7
source,10
performance,9
impressive,9
im,10
experiencing,10
such,10
recently,4
presented,4
many,4
provoked,2
anger,2
staging,1
protest,1
unhappiness,1
reached,10
new,10
heights,10
dont,5
strong,5
feelings,5
situation,5
despair,1
taken,1
hold,1
happenings,8
sparked,8
worry,3
societys,3
trajectory,3
time,0
answered,0
actions,0
leaves,2
wanting,2
more,2
view,0
lost,0
integrity,0
thoughts,0
cross,0
mind,0
ive,10
felt,10
fulfilled,10
unshakeable,9
way,2
acting,2
refuse,0
accept,0
unfairness,0
feels,0
like,0
turned,0
back,0
on,0
satisfied,10
all,9
they,9
can,9
dissatisfaction,1
brewing,1
some,0
radical,0
let,1
down,1
greatly,1
take,10
pleasure,10
lifes,10
moments,10
overflowing,9
thanks,9
distressed,2
holds,10
much,10
pillar,10
support,10
troubled,1
unwavering,9
pride,10
being,10
member,10
disturbances,3
confidence,0
waning,0
hurdles,6
hopefulness,6
persists,6
estranged,1
what,9
seem,0
divide,0
among,0
finding,3
struggle,3
days,8
ahead,8
doubts,1
surface,1
appreciate,7
effort,7
displeased,0
steps,0
completely,10
engulfs,10
keeping,0
becoming,0
challenging,0
excited,9
were,9
achieving,9
